Female 20-39 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,28.0264496439,28.1507656066,28.1519861831,28.107261695,28.1776685393,27.6668746101,27.2361359571,26.8684477511,26.4948794186,26.4523536165,26.4423562696,26.7078642174,27.2830887591,28.0290644868,28.85048442,29.528067103,29.9742236406,30.5662593123,31.3173294321,32.1330902461,32.8743352925
Albania,26.5780730897,26.9005847953,27.409261577,27.61596548,26.8684957427,27.5252525253,28.7151702786,30.7745987439,32.9382407985,31.961414791,29.3583927414,29.3443666454,30.1182327318,31.2575574365,31.3713949382,28.596187175,25.6586483391,23.5091743119,22.4466243508,22.830518346,22.6359338061
Algeria,27.3554104478,27.6582410696,27.4370922647,26.5509103169,24.779390834,24.5687530803,24.7865983781,26.6381507099,28.5053806297,30.2870198486,33.1216091041,35.6501966568,36.6833884392,36.1327607232,33.2356156216,30.1505882353,28.1986569922,27.3257331825,27.7604122666,27.4894002388,26.2811718183
Angola,28.821580691,28.2806409701,27.5254502741,26.6571632217,25.7825104873,25.8148254975,26.002004008,26.3035676589,26.6124561079,26.4738248703,26.7881800608,27.1454005935,28.0166147456,29.057187017,29.7714837464,30.7366151635,31.2269103636,31.8243522399,32.4864572048,32.6941370851,32.7618337682
Argentina,32.984984985,31.9896807481,30.703729079,29.4503912926,28.5904476618,28.3641362456,27.9800743703,27.7509778357,27.3827534039,27.3857280072,28.5349776738,29.2242995389,29.8498817396,30.0110741971,29.0684275838,28.2756555589,27.5912166369,26.8836795012,26.211130917,25.6348434766,24.8160355665
Armenia,27.2471910112,28.2208588957,31.9544984488,29.4792586055,26.9619269619,27.9889426399,29.5340050378,33.2551319648,33.7719298246,30.7374631268,28.773006135,28.0733944954,30.4426925409,31.421744325,29.0704558911,26.0818020154,23.0540701129,21.9556088782,22.8849665247,22.791846819,22.0746363061
Aruba,27.7777777778,28.5714285714,29.1666666667,26.9230769231,31.0344827586,34.4827586207,35.4838709677,36.3636363636,33.3333333333,35.8974358974,32.6086956522,28.8461538462,25,24.5614035088,25,24.5614035088,23.7288135593,23.2142857143,21.0526315789,20.6896551724,21.4285714286
Australia,30.854197349,28.4205895293,26.7558528428,25.7127864264,26.9401330377,28.8240495137,30.8591625884,32.0742799394,31.8128791414,31.1079389481,29.3551392195,28.1594075806,27.2559171598,26.3134735545,25.7923497268,24.9677731228,24.3603659482,23.8470191226,23.6566186107,23.6524822695,23.4886780694
Austria,27.602905569,25.3362022593,25.6846583355,24.3858288079,24.0567232211,25.0688016012,26.6197890507,28.2296650718,29.9224418314,30.4358412467,28.8238141336,27.1330654692,25.4833449802,24.7975942632,24.2298850575,23.0100640439,21.8700114025,20.7886938682,20.5028571429,20.5281285878,20.7255083179
Azerbaijan,27.4804177546,28.0982295831,30.8374384236,27.4186734263,24.4177310293,24.2538593482,26.415691237,31.8141980719,33.5415535035,34.0286504147,33.3413346135,32.026746599,32.5295922841,33.0900750626,31.5641898658,28.9581304771,26.6386394038,25.315739868,25.611349636,25.7578575414,24.5984310796
Bahamas,30.9523809524,29.7872340426,28.5714285714,26.3888888889,28.2352941176,28.4210526316,30.1886792453,32.7731092437,34.1085271318,35.6643356643,34.1935483871,33.3333333333,31.6384180791,30.8510638298,30.6532663317,29.1866028708,27.9069767442,26.4573991031,25.2173913043,24.5762711864,24.2677824268
Bahrain,27.7777777778,27.4193548387,27.397260274,26.8041237113,24.5098039216,26.0162601626,31.0344827586,39.2857142857,39.7058823529,37.6033057851,38.1294964029,37.7419354839,38.4393063584,37.7308707124,35.8353510896,34.5291479821,32.8451882845,30.7086614173,28.8389513109,27.3214285714,26.4604810997
Bangladesh,28.428507751,27.7137176938,27.0798195725,26.6369202034,26.0302966166,26.2889845637,26.6446318669,27.1450454573,28.4005504393,29.9792119587,32.0085789959,33.8952127871,35.0518507584,35.1212928678,34.323583181,32.9389865564,31.1776597431,29.6969116591,28.3328209858,27.0797637709,26.2084002548
Barbados,28.9473684211,25.8333333333,24.6153846154,23.0158730159,22.0472440945,25,29.2307692308,33.5877862595,35.0746268657,35.3383458647,31.7829457364,29.5454545455,27.8195488722,26.5151515152,24.6268656716,23.1343283582,21.8045112782,21.3740458015,20.1550387597,18.8976377953,19.6721311475
Belarus,30.3724265556,30.4398148148,32.5467497774,29.6153846154,26.642111725,25.9428344581,26.2995169082,28.6303166573,28.7103283801,28.3957415565,27.6094276094,28.034351145,29.4679399727,28.7195851615,26.6257668712,23.5851041448,20.8948740226,20.0135074291,20.2996956216,20.3472731719,19.7128941297
Belgium,27.5720164609,26.7258601554,26.9939965695,25.1039068994,25.2136752137,25.774845031,27.3378432153,29.4105973407,29.4569067296,28.6656322731,27.0072992701,25.7706766917,24.6655671614,23.8918918919,23.1860918929,22.5512528474,22.2568902756,21.9738651994,22.0399794977,22.2430224643,22.1599592461
Belize,29.4117647059,25.641025641,25.5319148936,24.0740740741,22.2222222222,22.3880597015,22.8571428571,26.582278481,29.347826087,30.5555555556,30.6451612903,31.2056737589,32.0512820513,32.3699421965,33.6898395722,33.6683417085,32.7102803738,31.25,29.9578059072,29.2181069959,28.0632411067
Benin,26.1187214612,26.4367816092,26.6889074229,27.3215656178,27.2411396803,26.4888337469,25.8855585831,25.4976303318,25.7166257166,26.7385257302,27.0820850809,27.6769741886,28.0386134269,28.4872671988,29.0628115653,29.7881729921,30.8005784146,31.739439962,32.325631613,32.4710080285,32.1153139919
Bhutan,27.5,30.2083333333,30.5555555556,29.9212598425,28.7671232877,28.6549707602,28.2926829268,26.8398268398,26.0223048327,26,27.6978417266,30.1948051948,34.1317365269,36.4640883978,36.1538461538,34.7826086957,32.2580645161,30.3097345133,29.4491525424,28.3950617284,27.1457085828
Bolivia,27.7941176471,27.5611368143,27.6004728132,27.3350923483,27.09798406,27.1937086093,27.7450257922,28.173682466,28.3972643473,28.8027608176,29.043062201,29.4768830041,30.1312649165,31.0097480228,31.7604667124,32.3153982873,32.2911877395,31.5882094149,30.7485875706,29.5971499041,28.3861478807
Bosnia and Herzegovina,28.4989122553,30.5866842452,33.0461538462,31.098265896,29.5929592959,30.3937007874,31.6213494461,34.1463414634,33.1651376147,32.7304550758,30.6485355649,29.5824847251,29.2670425423,27.5968992248,26.1393399686,23.5859124867,20.6896551724,19.7740112994,18.7903699354,18.6772810778,18.5447520927
Botswana,26.7605633803,27.9166666667,27.5735294118,25.9615384615,25,25.890736342,26.746506986,27.241962775,28.488372093,29.5019157088,30.8400460299,32.0693391116,34.2799188641,35.6596558317,35.7923497268,34.5517841601,33.9765100671,33.8211382114,33.8595106551,33.6906584992,32.7394209354
Brazil,28.7962350173,28.0116570053,27.7334649015,26.907602007,27.0605367173,28.397887974,29.7280887445,31.5401384032,32.4342996838,32.8017553107,33.0430833854,33.0788156444,32.9691704544,32.3689564965,31.5647203477,30.3630151417,28.8203789549,27.2465289205,25.2455943339,23.1025376048,21.701236343
Brunei,30.4347826087,29.0322580645,27.5,25,25.3968253968,28.2051282051,32.2222222222,34.5794392523,38.8429752066,39.5683453237,39.6226415094,40.1129943503,38.578680203,38.9671361502,37.5,35.7142857143,34.5724907063,32.1678321678,30.3630363036,29.5238095238,29.003021148
Bulgaria,31.5687896333,31.5159574468,32.2335025381,29.9390986602,29.0390956194,28.1822344322,28.0188891387,27.9405237461,26.7278013867,26.3602251407,26.838772528,27.2407732865,27.2140459592,25.4584108424,22.5487503433,20.3650884199,18.8802858845,18.8726253504,19.6219035202,19.8428961749,19.2183578343
Burkina Faso,30.4482225657,29.8003802281,29.0798611111,28.4581847008,27.4615109202,26.7032612205,26.2110726644,26.0358056266,26.6562220233,27.3010920437,27.7674182065,28.4430269643,27.9754601227,27.8281019591,27.9677330644,28.5506543868,30.5072567898,32.0388974755,33.0517854022,33.5498296422,33.0205826006
Burundi,29.2511700468,27.9485346676,26.9155206287,26.2589928058,25.8913878223,25.5862428348,27.1115258983,28.9065606362,28.9735667697,26.9595448799,25.202520252,28.5033112583,32.7419354839,34.0790298976,33.8106147384,32.5035310734,31.5606936416,31.7277812306,32.1800322533,32.1805555556,31.3699536731
Cambodia,28.5517241379,28.5537190083,28.3768862716,28.1942633638,27.8707443739,28.3135927806,30.3975704031,29.6918767507,29.3341213554,28.0969327233,26.7254484646,29.5374666104,32.1744791667,35.0228750301,36.3595756561,33.765419193,31.6595828803,29.9915198342,29.6409886343,29.7988555575,29.2151771505
Cameroon,28.8976723759,28.6401925391,28.3114992722,27.7977161501,27.1019936435,26.5739570164,26.0375709917,25.7936507937,25.950601235,26.5788728406,27.6528946377,28.7378205846,29.8627116946,30.9631369714,31.3930512103,31.9118315407,32.66965788,33.1636980492,33.4167633234,33.0267318195,32.1870401657
Canada,31.3386524823,29.6764212969,27.6802898223,26.0580658352,27.5335492827,30.3260963584,33.1897952551,34.9266118497,33.8225818,31.4320470366,29.0305924874,27.1813109326,26.6705641625,26.5642520745,25.6958277254,24.3480064292,23.1513510804,22.188671894,22.1308748753,22.5044190157,22.8060572888
Cape Verde,29.1139240506,27.9569892473,26.9230769231,23.1404958678,21.0144927536,21.4765100671,21.4285714286,24.5614035088,26.455026455,26.4423076923,27.2727272727,29.2,31.0861423221,32.9824561404,33.4437086093,32.7044025157,30.421686747,28.488372093,27.4787535411,26.4623955432,25.5494505495
Central African Rep.,28.6775631501,28.7729196051,28.7024901704,28.2479141836,27.4193548387,26.4132553606,26.2564991334,26.8567141785,26.7605633803,27.679623086,27.9874213836,28.1205164993,29.2629742695,30.4956035172,31.7442719882,32.6804123711,33.0868167203,33.3232445521,33.1900257954,32.8061085356,32.4035453597
Chad,29.1396103896,28.3296541575,27.4717982747,26.5913146936,25.8547008547,26.0312944523,26.1111111111,26.0393046107,26.1658031088,26.007224229,26.244984659,26.5755053508,27.1863117871,27.8907435508,28.6115569823,29.5151586646,30.402853546,31.3318880196,32.1709401709,32.75,33.0002156877
Channel Islands,28.8461538462,28.5714285714,27.1186440678,25.8064516129,26.5625,27.2727272727,28.7878787879,30.985915493,33.7837837838,32.8767123288,31.0810810811,28.5714285714,25,23.0769230769,21.7948717949,22.0779220779,22.3684210526,21.0526315789,20.2702702703,20,21.3333333333
Chile,28.9250814332,28.2284040996,26.9011898603,26.5767824497,26.8508970922,28.0060594584,30.7271443699,32.9584352078,33.5930476476,33.2646897309,31.5066735113,30.0060716454,29.7010273577,29.6790559171,29.3026706231,27.8881605899,26.0800318535,24.4494250633,23.7066897015,23.4651206995,23.1598864711
China,29.4985239472,28.3065991885,26.9952316313,25.6760742873,25.2372260477,27.2186059127,29.0689873458,32.1900977061,35.02695898,35.7320748202,35.0416004426,33.574109516,32.1897301414,29.8863639749,28.679952773,26.751947243,23.8528339166,22.7604858808,22.583508745,22.6251490552,22.3637210521
Colombia,27.8745644599,26.5197349467,25.3484320557,24.4418205238,25.0140056022,27.0423003407,29.2592592593,31.6515282106,33.1858671609,32.9988065531,32.871749057,32.2846544855,31.4918771796,31.306252489,30.6171540254,29.7784131523,28.9637696048,28.0232865838,27.2367149758,26.5170171118,25.7110848323
Comoros,30.3797468354,29.8850574713,27.8350515464,26.1682242991,24.3697478992,24.4444444444,25.6097560976,25.9067357513,27.2727272727,29.0983606557,29.963898917,32.4590163934,32.5581395349,32.1052631579,31.4285714286,30.5309734513,31.4168377823,32.1153846154,31.8918918919,31.228668942,29.756097561
"Congo, Dem. Rep.",27.6714021001,27.9787679844,28.0721393035,28.0572372042,27.8059031426,27.2840635132,26.7756807376,26.2216104611,25.761286201,25.4110612855,25.4979769686,25.9387153011,26.9695109474,28.1961246668,29.5026272876,30.8275848118,31.7804664084,32.6302087679,33.3010291199,33.5655532508,33.5691370122
"Congo, Rep.",28.7104622871,28.5398230088,27.9843444227,27.2260273973,26.4487369985,25.8642765685,25.6297918949,25.9398496241,26.8729641694,27.5466284075,27.7559055118,29.2056074766,30.3191489362,32.0549242424,32.7373350362,33.0192383196,33.0043859649,32.740335272,32.6668816511,32.2225619077,31.5052508751
Costa Rica,27.0613107822,25.8122743682,24.2748091603,23.6808236808,24.2491657397,26.9040553907,29.8093587522,32.5528700906,33.355393779,32.6112412178,32.2463768116,32.1747299202,32.8227571116,33.2378223496,32.3938223938,30.7326007326,28.3111422565,26.7543859649,25.6057629339,24.7284345048,24.2700156986
Cote d'Ivoire,28.5829959514,28.8811188811,28.5629804849,28.1477880408,27.100591716,26.3405456256,25.792864222,25.7222554294,26.1335531739,27.1216945867,28.2510140778,28.504573495,29.3790109475,30.5250816515,31.2664017395,32.0702277657,32.6288468669,32.8732890328,32.7986958351,32.2996908886,31.6274781005
Croatia,29.4642857143,30.0722891566,31.5340909091,29.3488372093,28.4918793503,28.5065819337,28.3562250775,28.8811795317,28.2897556794,27.1712158809,26.3698630137,26.1832392531,25.7880910683,25.1881363435,23.9461883408,22.1867881549,21.0770659239,20.5310573732,20.1648085313,20.4669647293,20.3977562468
Cuba,30.5623471883,29.6319597358,29.753722795,28.4323770492,27.2875816993,27.6440240757,28.3597448035,32.5678913738,34.8974164134,36.2665684831,33.4176300578,31.2836141986,28.1546447109,25.4866940525,24.9821173104,24.529316837,22.433460076,20.8770960015,19.814709775,19.0857589373,18.874847126
Cyprus,29.6,29.3680297398,27.3356401384,27.4247491639,27.0358306189,30.5194805195,32.3529411765,31.6923076923,30.2052785924,29.0760869565,29.3233082707,29.6037296037,29.4900221729,29.6842105263,28.370221328,26.3565891473,24.4402985075,22.9241877256,22.5352112676,22.9452054795,22.9865771812
Czech Rep.,28.4873583261,26.12065354,26.4699898271,25.5097960816,26.7998417722,28.1243963686,28.7681569515,28.3506126296,26.7018668678,26.8049010368,28.565987431,29.0007656968,29.2162417375,27.2062956717,23.606190565,21.731020332,20.8059981256,20.7522207522,21.7482384308,22.1584385763,21.5192307692
Denmark,28.7836583101,26.9557443004,25.6932409012,25.813177648,27.1152296535,28.0516431925,28.7972243639,29.1987673344,28.7576687117,28.7226001512,27.8724981468,25.6663015699,23.8508867173,23.1821454284,23.274937433,23.9246356203,23.9660657476,23.117709438,22.4388514711,22.3332144131,22.4775583483
Djibouti,29.0322580645,28.5714285714,27.9069767442,27.5862068966,28.3950617284,28.3185840708,27.485380117,27.8606965174,28.0575539568,28.7539936102,29.7002724796,30.6930693069,31.9727891156,33.6134453782,33.9805825243,33.5135135135,32.7731092437,31.7535545024,31.2406576981,30.9557774608,30.5706521739
Dominican Rep.,26.5546218487,26.9784172662,26.6261398176,26.0422027792,25.6852343059,26.2244504435,27.8823126924,29.7256097561,31.3150684932,32,31.9032405294,31.5256383203,31.270870163,31.1808118081,30.9036881664,30.436957972,29.8445263664,29.0592983545,28.3487210534,27.4375743163,26.4628050573
Ecuador,26.6978922717,26.0847107438,25.8675078864,25.5261106781,25.4117647059,26.4765784114,27.5252525253,28.9153965098,30.4067266328,31.2720225511,31.3325721742,31.0254835738,30.7211398662,30.8114035088,31,30.7358233031,29.903306673,28.8061082832,27.4946321618,26.3807089677,25.4919204133
Egypt,29.6385319405,28.6018162481,27.0713463751,25.4996510374,25.9997746987,26.4405063291,26.9463238611,27.839263755,27.8718216649,28.4051479402,29.6417499139,31.2584785558,33.1571302712,33.1611773717,32.4022687077,31.2676378613,29.9254295904,29.874041621,29.5119795758,28.7088431941,27.636536282
El Salvador,27.8923766816,27.7732793522,26.975088968,25.97799511,25.5591054313,26.0158804297,26.4668636556,26.7578125,27.9605263158,29.475465313,29.8285344549,30.1038062284,30.7598413183,32.0271066588,33.0878186969,32.2563127885,30.7491516575,28.687073109,26.8081955073,26.4470816178,25.9135419155
Equatorial Guinea,29.5652173913,28.5714285714,28.4615384615,27.7372262774,27.7027027027,18.8524590164,17.5438596491,32.5,35.0515463918,32.9004329004,28.2527881041,25.5737704918,26,27.3417721519,29.2517006803,30,30.223880597,31.0463121784,32.1202531646,32.5478645066,32.6446280992
Eritrea,27.0363951473,27.6729559748,27.8940027894,28.0637254902,27.9269602578,27.2983114447,26.7942583732,25.6123163051,25,23.3679072605,27.5695931478,32.0473476545,33.4338484734,32.7523840842,30.9664113141,31.0123192287,32.1051338737,33.1673081277,33.5428451708,32.7009583415,31.2085482682
Estonia,27.5039745628,27.8287461774,30.6451612903,29.3871866295,27.7401894452,27.1428571429,26.9620253165,27.5735294118,27.3381294964,26.1658031088,25.5434782609,26.0330578512,27.1844660194,25.8333333333,23.4965034965,21.4488636364,19.7976878613,20.8271787297,22.5903614458,23.6641221374,22.8260869565
Ethiopia,27.4613069647,27.6741232783,27.8857142857,27.8608127043,27.8070836473,27.4840419126,27.1800044833,27.1619857882,26.9988079089,26.8126045733,26.668284397,26.9003355883,27.8389393797,29.3306842171,30.6939830196,31.7090618709,32.5407649876,32.970802309,33.2146694456,33.2533246051,32.847668465
Fiji,27.5362318841,26.6666666667,26.1780104712,26.9911504425,28.515625,30.5263157895,31.6293929712,32.7635327635,32.5779036827,31.8302387268,30.3797468354,30.0733496333,29.9287410926,30.9302325581,31.4220183486,30.7174887892,30.5494505495,29.7826086957,28.2894736842,27.0925110132,26.5033407572
Finland,29.4314381271,27.5862068966,26.6986062718,25.9635747565,27.5210084034,29.7741273101,30.5758313058,31.1040759794,28.9330218069,26.641221374,25.2643504532,24.2242990654,23.5229357798,23.8886881099,23.299928418,22.4511545293,22.0530973451,21.58808933,21.8026362665,22.1464465183,22.210184182
France,26.0335144094,25.4756070394,26.442205501,24.5246844544,25.3549851849,26.3056236535,27.9803062665,29.8856237903,29.2876712329,28.612125884,27.133795642,25.9436368273,24.585068689,23.2167917506,22.7488721805,22.5031229552,22.4042427814,22.3959551087,22.2971402,21.8512502176,21.490004649
French Guiana,33.3333333333,28.5714285714,25,21.0526315789,27.2727272727,29.6296296296,33.3333333333,34.8837209302,34.5454545455,32.8358208955,31.25,30.6930693069,30.4347826087,29.7709923664,30.3448275862,31.0975609756,30.8988764045,30.2564102564,29.1262135922,28.7671232877,28.4482758621
French Polynesia,31.0344827586,28.125,25.641025641,26.0869565217,26.9230769231,27.4193548387,29.1666666667,31.7073170732,32.2580645161,33.9805825243,32.4561403509,32.2580645161,31.8181818182,30.7692307692,31.9727891156,30.1282051282,27.950310559,27.380952381,26.1627906977,25.8620689655,25.5681818182
Gabon,29.0456431535,28.6885245902,28.2258064516,27.626459144,26.8382352941,27.1241830065,27.3775216138,28,28.051391863,28.021978022,28.5714285714,29.8398835517,31.1170212766,32.5183374083,33.4085778781,33.4033613445,32.9064039409,31.9962686567,31.4108251996,30.9584393554,30.5805396566
Gambia,28.8888888889,29.5774647887,30.487804878,31.2169312169,30.7339449541,29.8850574713,27.652733119,26.8096514745,26.9315673289,27.8181818182,28.2012195122,28.4224250326,28.1179138322,28.7712287712,29.8214285714,31.0096153846,32.0057929037,32.582781457,32.6642335766,32.412626832,32.0168509742
Georgia,29.3684210526,29.2576419214,32.1492805755,30.6336550567,27.6442307692,27.1993853246,26.5973254086,29.2726621283,29.9581005587,29.0492296129,28.28,27.7282377919,27.760393384,27.9778393352,25.971563981,23.9902676399,21.7717717718,19.9069286453,20.5692803437,21.061452514,20.4093567251
