Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,,,,,,,,,,,0.0041883457,0.0040921137,0.0798750778,0.0971635164,1.130397829,1.947423469,1.7512021615,1.688485448,3.2463055735,3.6541143964,4.5806699208
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,
Albania,0,,,,,0.0111686955,0.0321968282,0.0485939188,0.06502737,0.0814370446,0.1140973466,0.3257983771,0.3900812734,0.9719004152,2.4203877978,6.043890864,9.6099913158,15.0361154084,23.86,41.2,45,49
Algeria,0,,,,0.0003606736,0.001768954,0.0017385332,0.0102684632,0.0202385545,0.199523843,0.4917056791,0.6461140167,1.5916412604,2.1953597309,4.6344750878,5.843942092,7.3759849563,9.4511906256,10.18,11.23,12.5,14
American Samoa,0,,,,,,,,,,,,,,,,,,,,,
Andorra,0,,,,,,1.5266010228,3.0501753851,6.8862092183,7.6356861428,10.5388356092,,11.260468717,13.5464128764,26.8379543895,37.6057662175,48.9368469989,70.87,70.04,78.53,81,81
Angola,0,,,,,,0.0007759285,0.005673746,0.0184537241,0.071964087,0.1050455625,0.1360138674,0.2703767456,0.3706820652,0.464814618,1.1433668266,1.9076475072,3.2,4.6,6,10,14.776
Anguilla,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0,,,,,2.2007688019,2.8584495769,3.480536838,4.0717165,5.3006811375,6.482225737,8.8992855145,12.5,17.2286487817,24.2665437162,34.7164029018,62.6388691911,70.06,75.03,74.2,80,82
Argentina,0,,0.0029928741,0.0295270653,0.0437059511,0.086277081,0.1419547044,0.2803398818,0.8307666797,3.2844819559,7.0386830862,9.7808072853,10.8821243775,11.913696551,16.0366841055,17.7205833696,20.9272021036,25.9466329404,28.11262348,34,40,47.704
Armenia,0,,,,0.0091170141,0.0527431233,0.0945729025,0.1116509345,0.1286594776,0.9707377575,1.3004700224,1.6310946668,1.9604050458,4.5752172248,4.8990085713,5.252983352,5.6317877773,6.0212533971,6.21,15.3,,
Aruba,0,,,,,,2.7683826627,,,4.5061790981,15.442822948,17.1,18.8,20.8,23,25.4,28,30.9,34.2,37.7,42,57.06835805
Australia,0.5861593966,1.0995293872,1.7722497687,1.9813632756,2.2404543511,2.7667423909,3.2767947521,16.3765657726,30.8525616849,40.8309634523,46.7838255615,52.6056388785,,,,63.0269362779,66.1479410955,69.6065092704,71.7210626039,74.0829081575,75.8929310577,78.9480751174
Austria,0.1302447951,0.2579017552,0.6376973507,0.7589525089,1.3860681003,1.8872012277,6.910418483,9.5381765195,15.4199201702,23.0223174762,33.7012763797,39.1668716337,36.5649850698,42.7673616434,54.3702478498,58.0307840622,63.6351280458,69.445171556,72.9126542829,73.4883174253,75.204700996,79.74719494
Azerbaijan,0,,,,0.0014451199,0.0020768998,0.0064219613,0.0254303636,0.0377818823,0.099932031,0.1488980403,0.3085883382,5.0659743614,,,8.2179825166,12.2991269262,14.9461636908,17.4312125431,27.7655306333,46.677989939,50.7527432373
Bahamas,0,,,,,0.960030721,1.7469506976,1.3629539028,2.3355907104,3.7645578218,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65
Bahrain,0,,,,,0.3462058436,0.8432542192,1.6462992017,3.2182021514,4.7203581178,6.1537325465,15.0386342514,18.0507208881,21.5549449918,21.4586805077,21.3037335137,28.2439524318,32.91,51.95,53,55,77
Bangladesh,0,,,,,,,0.0007510458,0.0036848126,0.0361704075,0.0710394231,0.1298079739,0.1399202885,0.1638776655,0.1990363337,0.2416373256,1,1.8,2.5,3.1,3.7,5
Barbados,0,,,,,0.0077522385,0.3894642141,0.7834289117,1.9702492365,2.3762470346,3.9736783546,11.9364503384,27.8363224241,39.689627116,49.8,56.0708546067,63,64.7,66.5,68.7,70.2,71.7657
Belarus,0,,,,0.000489093,0.0029442459,0.029541545,0.0494442916,0.0745174895,0.4984575082,1.8702179787,4.3176756933,8.9855874489,,,,16.2737767891,19.7532561946,23.1884888565,27.8022424403,32.1532547734,39.9613494775
Belgium,0.0010048852,0.0200161437,0.0996357998,0.1984098937,0.691998962,0.9860928648,2.9513303223,4.9051710245,7.8291484901,13.6671049583,29.2147391048,31.0593391815,45.9768569897,49.6183218507,53.528481871,55.4768960808,59.3068897279,63.9127366216,65.3356476249,69.1211173851,73.7353894189,76.2006148256
Belize,0,,,,,0.0461962961,0.9003163393,1.3022860944,2.0911393044,4.0997319725,5.9808339045,,5.629959327,,5.634835698,8.8677277298,9.9063847829,10.2193471589,10.5072041912,10.7512561224,12.6567391935,
Benin,0,,,,,,0.0016931002,0.0246487957,0.0478773039,0.1549067407,0.2252478515,0.36341789,0.7029455951,0.9513271149,1.1825409652,1.2710314395,1.5378543462,1.79,1.85,2.24,3.13,3.5
Bermuda,0,,,,,6.8054688419,16.1765106086,24.2244269081,32.246155057,40.3051841146,43.4575121449,47.9749148785,52.5187721989,57.1096616754,61.5737970962,65.9924580048,70.4781350665,74.9337815022,82.8858426791,83.7696661491,85.132892414,88.8507244513
